recordID,10y_down:base,10y_up:base,1y_down:base,1y_up:base,2y_down:base,2y_up:base,30y_down:base,30y_up:base,3y_down:base,3y_up:base,4y_down:base,4y_up:base,5y_down:base,5y_up:base,7y_down:base,7y_up:base,base:1_D,base:1_U,base:2_D,base:2_U,base:3_D,base:3_U,base:4_D,base:4_U,base:5_D,base:5_U,base:base
30002,117282,118516,117892,117902,117876,117919,121725,114132,117874,117921,117869,117926,117841,117954,118947,116847,117897,117897,118099,117695,118368,117425,118464,117330,117897,117897,117897
30002,151370,152156,151758,151765,151743,151780,153261,150256,151742,151781,151738,151785,151715,151807,153380,150146,151762,151762,151831,151693,151923,151600,152435,151091,151762,151762,151762
30002,120469,121171,120815,120821,120801,120835,122127,119502,120800,120837,120796,120839,120775,120861,122365,119273,120818,120818,120956,120681,121139,120497,121438,120201,120818,120818,120818
30002,153550,155671,154598,154606,154581,154622,157585,151647,154579,154624,154575,154628,154550,154653,156292,152914,154602,154602,154690,154515,154806,154397,155266,153941,154602,154602,154602
30002,125933,126817,126369,126379,126351,126397,129836,122959,126349,126400,126344,126404,126314,126433,127611,125138,126374,126374,126583,126165,126862,125885,127096,125654,126374,126374,126374
30002,26213.8,27809.2,27002.6,27010.5,26986,27026.1,29460.2,24557,26983.9,27027.5,26980.5,27032,26954.7,27057.7,28724.3,26384.9,27006.9,27006.9,27561,26452.8,28299.6,26557.3,27457.5,26556.7,27006.9,27006.9,27006.9
30002,145399,145408,145401,145410,145387,145425,148433,142419,145384,145427,145380,145432,145355,145456,146097,144716,145406,145406,145473,145338,145564,145247,145918,144895,145406,145406,145406
30002,172794,174896,173833,173843,173816,173861,177681,170052,173813,173863,173808,173868,173779,173896,175364,172313,173838,173838,173916,173759,174020,173654,174488,173190,173838,173838,173838
30002,89242.3,89727.7,89481.3,89488,89466.1,89503.6,90646.9,88314.9,89464.8,89504.1,89461.1,89507.4,89437.9,89530.2,91145.9,87825.4,89484.4,89484.4,89784.6,89183.9,90184.7,88782.9,90066.4,88903.1,89484.4,89484.4,89484.4
30002,113220,114715,113960,113970,113945,113985,117995,110012,113942,113987,113936,113992,113909,114019,114965,112965,113965,113965,114135,113794,114363,113566,114569,113362,113965,113965,113965
30002,143964,143870,143915,143924,143897,143942,146920,140959,143894,143944,143889,143949,143860,143978,144951,142889,143919,143919,144123,143715,144395,143443,144480,143360,143919,143919,143919
30002,131730,133342,132493,132501,132478,132516,134951,130206,132476,132518,132472,132522,132448,132546,134169,130828,132497,132497,132641,132353,132834,132161,133159,131840,132497,132497,132497
30002,109095,110603,109565,109572,109551,109585,113482,107995,109549,109587,109546,109590,109525,109611,111116,108023,109568,109568,109771,109366,110041,109095,110075,109063,109568,109568,109568
30002,135868,139403,137614,137624,137599,137640,142239,133076,137596,137643,137590,137647,137564,137674,139257,135984,137619,137619,137770,137468,137971,137266,138180,137059,137619,137619,137619
30002,104330,106144,105229,105236,105215,105249,107791,102681,105213,105250,105209,105253,105189,105275,106648,103817,105232,105232,105376,105088,105568,104896,105809,104655,105232,105232,105232
30002,147106,149056,148071,148079,148057,148094,151637,144560,148055,148096,148050,148101,148024,148126,149348,146803,148075,148075,148147,148002,148244,147905,148621,147531,148075,148075,148075
30002,55038.2,55317.3,55174.5,55180.4,55161.7,55192.3,56019.5,54333.3,55160.5,55192.9,55157.2,55195.6,55138.3,55214.9,56587.3,53768.7,55177.3,55177.3,55431.9,54922.6,55771.2,54583,55883.5,54471.5,55177.3,55177.3,55177.3
